Idx;time (epoch);deltaT;deltaDist (km);deltaT(2);cog;sog (kn)
779;1680433592000;;;;;0.131
808;1680433594000;2000;0.007481;=(B3-B2);;0.051
821;1680433595000;1000;0.002579;=(B4-B3);;0.047
837;1680433596000;1000;0.000584;=(B5-B4);;0.069
850;1680433597000;1000;0.000757;=(B6-B5);;0.031
866;1680433598000;1000;0.001212;=(B7-B6);;0.059
879;1680433599000;1000;0.000119;=(B8-B7);;0.024
895;1680433600000;1000;0.000411;=(B9-B8);;0.012
908;1680433601000;1000;0.000061;=(B10-B9);;0.064
924;1680433602000;1000;0.000284;=(B11-B10);;0.111
937;1680433603000;1000;0.000031;=(B12-B11);;0.015
950;1680433604000;1000;0.000262;=(B13-B12);;0.139
966;1680433605000;1000;0.000233;=(B14-B13);;0.049
979;1680433606000;1000;0.000427;=(B15-B14);;0.036
995;1680433607000;1000;0.000174;=(B16-B15);;0.076
1008;1680433608000;1000;0.000356;=(B17-B16);;0.038
1024;1680433609000;1000;0.000186;=(B18-B17);;0.057
1037;1680433610000;1000;0.000145;=(B19-B18);;0.173
1053;1680433611000;1000;0.000151;=(B20-B19);;0.059
1066;1680433612000;1000;0.000260;=(B21-B20);;0.061
1082;1680433613000;1000;0.000188;=(B22-B21);;0.044
1095;1680433614000;1000;0.000166;=(B23-B22);;0.061
1111;1680433615000;1000;0.000208;=(B24-B23);;0.066
1124;1680433616000;1000;0.000146;=(B25-B24);;0.027
1140;1680433617000;1000;0.000084;=(B26-B25);;0.028
1153;1680433618000;1000;0.000339;=(B27-B26);;0.215
1166;1680433619000;1000;0.000078;=(B28-B27);;0.115
1182;1680433620000;1000;0.000053;=(B29-B28);;0.036
1195;1680433621000;1000;0.000053;=(B30-B29);;0.116
1211;1680433622000;1000;0.000158;=(B31-B30);;0.067
1224;1680433623000;1000;0.000037;=(B32-B31);;0.072
1240;1680433624000;1000;0.000171;=(B33-B32);;0.105
1253;1680433625000;1000;0.000095;=(B34-B33);;0.04
1269;1680433626000;1000;0.000196;=(B35-B34);;0.1
1282;1680433627000;1000;0.000216;=(B36-B35);;0.085
1298;1680433628000;1000;0.000310;=(B37-B36);;0.108
1311;1680433629000;1000;0.000075;=(B38-B37);;0.052
1327;1680433630000;1000;0.000151;=(B39-B38);;0.129
1340;1680433631000;1000;0.000075;=(B40-B39);;0.18
